edad,genero,estrato,semestre,trabaja,horas_estudio_semanal,apoyo_financiero,distancia_km,participacion_extracurricular,promedio_anterior,asistencia_pct,materias_reprobadas,creditos_matriculados,desercion,grupo_estrato
21.0,Masculino,3,7,1,16.6,0,8.9,0,2.8,71.4,1,20,1,Medio (3-4)
17.0,Femenino,3,4,0,8.5,1,4.0,0,3.38,78.3,1,18,0,Medio (3-4)
22.0,Femenino,3,7,0,12.4,0,14.3,0,3.29,83.6,2,21,0,Medio (3-4)
19.0,Femenino,4,10,0,12.6,0,15.6,1,3.07,86.6,0,14,0,Medio (3-4)
19.0,Masculino,4,2,1,6.6,0,1.2,0,2.01,76.9,0,12,1,Medio (3-4)
22.0,Masculino,2,8,1,0.0,0,7.9,0,1.83,69.2,1,16,1,Bajo (1-2)
21.0,Femenino,4,10,0,9.9,0,7.6,0,2.86,100.0,2,13,1,Medio (3-4)
19.0,Femenino,5,6,0,22.3,0,2.3,1,2.87,85.6,0,13,1,Alto (5-6)
19.0,Femenino,2,4,0,11.7,1,9.4,1,2.96,89.6,1,20,0,Bajo (1-2)
21.0,Femenino,3,3,1,11.8,0,3.6,0,3.49,69.9,2,15,0,Medio (3-4)
20.0,Masculino,2,2,1,11.6,0,15.8,0,2.83,76.9,1,12,1,Bajo (1-2)
18.0,Femenino,4,4,0,27.3,0,10.8,0,3.87,79.8,1,14,1,Medio (3-4)
20.0,Femenino,2,8,1,6.3,0,18.4,1,2.35,59.9,4,15,1,Bajo (1-2)
21.0,Femenino,4,6,1,16.9,0,8.5,1,3.51,71.8,0,20,1,Medio (3-4)
20.0,Masculino,2,3,1,7.6,0,15.5,1,3.2,71.6,0,18,1,Bajo (1-2)
17.0,Femenino,3,6,0,12.4,1,1.1,1,2.45,76.0,1,17,0,Medio (3-4)
23.0,Masculino,5,9,1,8.3,1,2.6,0,2.6,64.3,2,17,1,Alto (5-6)
17.0,Femenino,3,1,0,9.4,1,5.0,0,2.39,78.4,1,19,0,Medio (3-4)
20.0,Masculino,5,1,1,2.9,1,0.2,0,2.98,89.0,1,13,1,Alto (5-6)
19.0,Femenino,6,10,1,16.8,0,31.5,1,3.44,80.3,0,16,1,Alto (5-6)
21.0,Masculino,5,8,0,9.2,0,7.9,0,2.99,66.2,2,15,1,Alto (5-6)
22.0,Masculino,2,6,0,14.0,0,18.0,0,3.17,67.7,0,12,0,Bajo (1-2)
23.0,Masculino,4,10,0,18.3,1,1.0,0,3.58,74.2,1,17,0,Medio (3-4)
19.0,Masculino,1,6,1,4.6,0,4.5,0,2.98,60.8,5,18,1,Bajo (1-2)
22.0,Masculino,3,6,0,20.6,0,19.2,1,3.28,85.0,1,18,0,Medio (3-4)
21.0,Masculino,5,3,0,14.4,1,3.5,0,2.93,91.5,2,12,0,Alto (5-6)
17.0,Masculino,4,9,0,13.0,0,1.3,1,3.16,76.2,1,15,0,Medio (3-4)
25.0,Femenino,3,8,0,2.0,0,8.5,0,2.59,78.8,1,15,0,Medio (3-4)
17.0,Masculino,3,3,0,11.8,1,6.0,0,4.16,73.7,1,13,0,Medio (3-4)
21.0,Femenino,4,8,1,12.3,0,1.7,1,2.96,72.7,4,17,1,Medio (3-4)
21.0,Masculino,4,8,0,24.5,0,15.7,1,3.85,83.9,1,17,0,Medio (3-4)
21.0,Femenino,3,1,0,17.4,0,10.1,1,3.62,75.4,2,19,1,Medio (3-4)
19.0,Femenino,5,2,1,16.4,0,37.1,0,4.04,66.9,0,19,0,Alto (5-6)
22.0,Masculino,2,6,1,6.5,1,2.9,0,2.49,58.8,1,20,0,Bajo (1-2)
17.0,Femenino,2,7,1,8.9,1,13.6,1,3.67,79.6,2,16,0,Bajo (1-2)
20.0,Femenino,3,7,0,21.3,0,17.2,1,3.49,92.7,2,14,0,Medio (3-4)
19.0,Femenino,6,4,0,8.7,0,15.2,1,4.24,89.1,0,17,0,Alto (5-6)
19.0,Femenino,2,9,1,16.5,0,8.1,1,3.52,93.9,0,18,0,Bajo (1-2)
21.0,Femenino,2,5,1,15.0,1,16.1,0,2.66,68.3,3,15,1,Bajo (1-2)
23.0,Femenino,2,3,1,7.8,0,5.2,0,2.85,83.5,0,16,0,Bajo (1-2)
20.0,Femenino,5,2,0,12.0,0,4.6,1,3.81,71.0,0,21,0,Alto (5-6)
22.0,Femenino,2,9,0,8.1,1,2.9,0,3.0,85.1,0,19,0,Bajo (1-2)
21.0,Femenino,3,8,0,24.7,1,11.0,1,3.68,98.4,1,18,0,Medio (3-4)
19.0,Masculino,6,5,1,17.5,1,51.2,0,3.75,80.0,1,21,0,Alto (5-6)
20.0,Femenino,1,3,0,16.0,1,7.8,1,3.15,98.6,2,12,0,Bajo (1-2)
20.0,Masculino,3,1,0,11.5,0,4.5,1,3.01,76.0,0,17,1,Medio (3-4)
19.0,Masculino,3,2,1,10.9,1,0.3,0,2.62,73.7,1,14,1,Medio (3-4)
21.0,Femenino,4,2,0,15.0,1,4.0,1,4.14,72.8,0,14,1,Medio (3-4)
21.0,Femenino,3,6,1,12.3,0,2.9,0,2.54,75.3,3,19,0,Medio (3-4)
17.0,Masculino,3,2,0,18.4,0,15.8,0,3.51,80.7,0,19,0,Medio (3-4)
17.0,Masculino,2,2,1,3.4,0,7.9,1,2.99,79.3,2,16,1,Bajo (1-2)
21.0,Masculino,4,3,0,5.2,1,1.4,0,2.83,73.3,1,17,1,Medio (3-4)
19.0,Masculino,4,7,0,14.5,1,9.0,0,2.63,73.1,2,17,1,Medio (3-4)
21.0,Masculino,2,5,1,3.6,1,7.5,0,2.26,78.5,1,20,1,Bajo (1-2)
22.0,Masculino,3,2,0,12.1,0,0.3,1,3.4,80.4,1,12,0,Medio (3-4)
18.0,Femenino,5,8,1,10.6,1,0.9,0,2.69,63.5,1,17,0,Alto (5-6)
17.0,Masculino,1,5,0,17.0,0,16.0,1,2.33,63.0,1,12,0,Bajo (1-2)
24.0,Femenino,2,2,1,23.3,0,0.8,0,3.84,69.0,1,21,1,Bajo (1-2)
21.0,Masculino,3,7,0,2.3,1,1.3,0,2.27,64.2,1,14,1,Medio (3-4)
20.0,Masculino,2,10,1,24.1,1,7.9,1,4.0,70.6,2,12,0,Bajo (1-2)
18.0,Femenino,2,6,1,7.8,1,20.6,0,2.85,70.8,1,20,1,Bajo (1-2)
19.0,Masculino,3,2,1,15.1,0,2.7,1,3.15,77.5,0,19,0,Medio (3-4)
18.0,Femenino,2,4,0,5.5,0,6.7,1,2.87,75.3,0,21,0,Bajo (1-2)
22.0,Masculino,3,6,1,16.0,0,10.3,1,2.75,100.0,1,15,1,Medio (3-4)
19.0,Femenino,4,10,0,14.2,0,3.4,1,2.83,69.4,3,14,1,Medio (3-4)
23.0,Masculino,3,10,0,13.6,1,13.2,0,3.08,90.1,1,18,0,Medio (3-4)
20.0,Femenino,1,10,1,0.0,0,15.4,1,2.03,77.4,2,21,1,Bajo (1-2)
18.0,Masculino,4,9,0,14.4,0,7.6,0,3.61,71.4,2,21,0,Medio (3-4)
20.0,Masculino,2,6,0,19.1,0,28.5,0,3.3,83.9,2,15,0,Bajo (1-2)
17.0,Masculino,4,7,0,12.6,1,1.4,0,2.44,73.5,3,18,1,Medio (3-4)
20.0,Masculino,3,8,1,19.3,1,13.5,1,3.19,70.9,0,20,0,Medio (3-4)
20.0,Masculino,4,8,0,20.8,0,3.0,0,3.59,95.9,0,19,0,Medio (3-4)
22.0,Masculino,2,7,0,10.2,0,18.2,0,2.83,56.1,0,18,0,Bajo (1-2)
17.0,Femenino,2,2,1,21.5,1,6.8,0,3.77,72.6,1,13,0,Bajo (1-2)
23.0,Masculino,3,9,1,10.7,0,8.9,0,3.37,76.9,2,18,1,Medio (3-4)
22.0,Femenino,1,1,0,14.3,0,0.8,1,4.44,96.1,1,13,0,Bajo (1-2)
23.0,Masculino,2,5,1,10.2,0,9.6,0,3.64,71.0,0,16,1,Bajo (1-2)
20.0,Femenino,4,5,1,10.9,1,1.8,1,2.27,100.0,1,17,1,Medio (3-4)
23.0,Masculino,4,10,0,0.0,1,15.6,1,2.42,89.6,0,12,0,Medio (3-4)
17.0,Masculino,1,1,0,12.9,0,9.0,0,3.05,54.3,2,16,1,Bajo (1-2)
22.0,Femenino,5,5,1,1.5,0,2.4,0,2.95,60.5,2,15,0,Alto (5-6)
19.0,Masculino,4,4,0,23.8,0,6.9,0,3.2,80.4,0,13,1,Medio (3-4)
17.0,Masculino,5,1,1,21.6,0,14.7,0,3.31,63.6,0,18,0,Alto (5-6)
18.0,Masculino,4,3,1,14.9,0,5.9,0,2.65,80.5,1,19,0,Medio (3-4)
21.0,Femenino,4,5,1,7.0,0,20.5,0,2.62,70.5,0,20,0,Medio (3-4)
19.0,Masculino,3,10,1,3.8,0,5.8,1,2.49,67.0,4,18,1,Medio (3-4)
21.0,Masculino,4,4,0,10.1,0,0.1,0,2.9,68.4,0,13,0,Medio (3-4)
17.0,Femenino,5,9,0,25.7,0,10.0,0,3.16,86.5,1,12,0,Alto (5-6)
17.0,Femenino,1,8,0,9.8,0,2.7,0,3.53,57.8,2,20,0,Bajo (1-2)
24.0,Femenino,2,9,1,0.0,1,13.5,1,2.84,89.5,0,12,1,Bajo (1-2)
22.0,Masculino,1,9,0,20.2,0,4.2,0,2.78,88.7,0,15,0,Bajo (1-2)
18.0,Femenino,5,8,1,17.9,1,22.3,1,3.42,75.7,1,15,0,Alto (5-6)
20.0,Masculino,3,8,1,17.5,1,2.9,0,2.6,61.0,1,13,1,Medio (3-4)
23.0,Masculino,4,2,1,20.1,1,12.2,1,4.17,84.6,1,18,0,Medio (3-4)
21.0,Femenino,4,8,0,21.2,0,11.3,0,4.36,73.1,0,19,0,Medio (3-4)
21.0,Masculino,6,1,1,8.2,0,2.9,0,2.94,59.8,0,20,0,Alto (5-6)
23.0,Masculino,2,8,0,1.5,1,12.1,0,2.24,97.1,0,16,1,Bajo (1-2)
19.0,Femenino,4,7,0,14.2,0,0.9,0,2.91,69.2,0,16,0,Medio (3-4)
21.0,Femenino,5,8,0,17.7,0,3.9,1,3.17,67.3,0,14,0,Alto (5-6)
20.0,Femenino,1,7,0,13.2,0,16.9,0,3.14,80.9,2,12,0,Bajo (1-2)
20.0,Femenino,4,4,0,12.9,0,1.0,0,3.87,77.3,3,20,0,Medio (3-4)
20.0,Femenino,3,4,0,8.2,1,9.8,0,3.45,92.9,4,20,1,Medio (3-4)
21.0,Masculino,3,6,1,1.7,0,0.7,0,3.16,71.2,3,21,0,Medio (3-4)
21.0,Femenino,3,5,1,19.9,1,4.0,1,3.58,75.3,2,13,0,Medio (3-4)
18.0,Femenino,2,4,0,25.2,1,10.4,0,3.16,81.4,0,16,0,Bajo (1-2)
22.0,Masculino,2,5,1,7.0,0,1.5,1,2.53,81.0,2,18,1,Bajo (1-2)
18.0,Masculino,1,6,1,9.8,0,9.2,1,3.07,81.3,0,20,1,Bajo (1-2)
20.0,Masculino,1,3,1,5.8,0,0.4,0,2.26,77.7,0,16,1,Bajo (1-2)
20.0,Masculino,3,7,0,17.9,1,0.1,0,3.56,79.6,3,13,0,Medio (3-4)
21.0,Femenino,3,4,1,19.5,1,3.7,0,3.88,70.8,0,21,1,Medio (3-4)
17.0,Femenino,2,3,1,1.6,1,0.1,0,2.94,83.3,0,12,1,Bajo (1-2)
22.0,Masculino,4,5,0,16.8,1,6.5,1,3.61,78.4,3,19,0,Medio (3-4)
19.0,Masculino,4,2,1,13.2,0,4.3,0,2.26,83.0,1,15,0,Medio (3-4)
23.0,Masculino,3,7,1,15.3,1,2.4,0,3.96,88.9,1,12,0,Medio (3-4)
19.0,Femenino,5,8,1,24.3,1,3.4,1,2.91,72.2,2,17,1,Alto (5-6)
20.0,Masculino,3,10,1,21.7,1,3.3,0,3.5,99.0,1,15,0,Medio (3-4)
25.0,Masculino,4,3,0,12.6,0,0.7,1,3.48,74.9,2,16,0,Medio (3-4)
20.0,Femenino,1,6,1,16.0,0,1.6,0,3.5,67.9,1,13,1,Bajo (1-2)
23.0,Masculino,4,6,0,14.5,0,2.4,0,2.61,83.4,4,18,1,Medio (3-4)
21.0,Masculino,6,8,0,10.2,0,4.8,0,2.51,82.4,0,14,0,Alto (5-6)
21.0,Femenino,4,7,0,15.6,0,12.6,0,3.45,78.7,0,13,1,Medio (3-4)
21.0,Femenino,3,9,0,18.0,1,16.3,1,3.67,90.2,1,15,1,Medio (3-4)
22.0,Masculino,3,9,1,11.8,1,5.4,0,2.58,77.5,2,13,1,Medio (3-4)
19.0,Femenino,3,2,1,7.3,0,3.3,1,3.13,99.7,2,17,0,Medio (3-4)
18.0,Femenino,4,4,0,11.2,0,3.6,1,2.35,81.5,2,17,1,Medio (3-4)
19.0,Femenino,4,7,0,11.3,0,9.2,0,3.42,69.5,1,19,0,Medio (3-4)
21.0,Femenino,6,6,0,8.9,1,2.2,1,2.56,76.5,2,21,1,Alto (5-6)
20.0,Masculino,3,5,0,15.9,1,19.5,0,3.35,82.7,1,12,0,Medio (3-4)
22.0,Masculino,1,2,0,16.5,0,18.3,0,3.3,82.9,1,12,0,Bajo (1-2)
23.0,Femenino,3,6,1,16.4,0,35.4,1,3.92,81.1,1,16,1,Medio (3-4)
18.0,Masculino,1,8,1,8.6,1,2.4,0,3.11,66.5,0,12,0,Bajo (1-2)
19.0,Masculino,2,1,0,10.5,0,15.1,1,2.77,93.1,0,20,0,Bajo (1-2)
17.0,Femenino,2,6,0,23.3,0,43.8,0,3.83,97.4,1,20,1,Bajo (1-2)
25.0,Masculino,4,10,0,13.0,0,6.1,0,4.26,78.3,1,16,0,Medio (3-4)
21.0,Femenino,2,6,0,14.2,0,6.8,0,3.61,96.1,0,21,0,Bajo (1-2)
22.0,Masculino,2,10,1,8.8,0,0.1,0,2.97,83.7,3,17,1,Bajo (1-2)
18.0,Masculino,1,4,1,11.9,0,29.9,0,2.72,97.2,3,17,0,Bajo (1-2)
20.0,Masculino,5,1,1,18.0,1,5.3,1,3.1,83.7,1,19,0,Alto (5-6)
22.0,Femenino,4,7,0,20.7,0,60.0,0,3.87,79.4,0,17,1,Medio (3-4)
20.0,Masculino,1,3,0,14.2,0,0.7,1,2.79,90.4,0,19,0,Bajo (1-2)
23.0,Femenino,1,1,1,2.3,1,11.7,0,2.7,70.7,0,14,0,Bajo (1-2)
26.0,Femenino,3,2,0,25.6,0,0.6,0,4.47,82.1,0,17,0,Medio (3-4)
18.0,Femenino,2,10,1,13.5,1,4.4,0,3.28,88.3,0,20,0,Bajo (1-2)
18.0,Masculino,3,8,1,4.5,0,8.3,0,2.26,83.2,0,21,0,Medio (3-4)
19.0,Femenino,3,3,0,22.5,1,10.1,0,4.7,77.7,0,13,0,Medio (3-4)
24.0,Masculino,5,6,0,10.8,0,2.4,0,3.97,80.0,0,12,1,Alto (5-6)
23.0,Masculino,2,4,1,15.0,0,4.9,0,3.53,82.6,1,17,0,Bajo (1-2)
20.0,Femenino,4,2,1,17.6,0,7.2,0,4.03,82.2,1,12,0,Medio (3-4)
21.0,Femenino,1,10,0,8.5,1,6.8,0,2.85,85.5,1,18,0,Bajo (1-2)
19.0,Femenino,6,9,0,17.5,0,4.9,0,3.75,81.4,0,16,1,Alto (5-6)
22.0,Masculino,6,4,0,18.7,0,0.9,0,3.23,69.8,1,20,0,Alto (5-6)
20.0,Masculino,4,4,0,29.7,0,16.2,0,3.26,71.3,2,13,1,Medio (3-4)
20.0,Femenino,3,9,0,9.5,1,0.9,1,4.33,86.6,0,12,0,Medio (3-4)
22.0,Masculino,2,5,1,22.1,0,19.4,0,2.89,83.3,0,14,1,Bajo (1-2)
20.0,Femenino,4,4,1,9.6,0,37.7,0,3.18,82.0,4,12,1,Medio (3-4)
20.0,Masculino,4,4,0,6.6,0,1.6,0,3.04,71.2,0,13,0,Medio (3-4)
21.0,Masculino,2,5,1,8.6,0,5.6,0,3.24,73.5,1,19,0,Bajo (1-2)
22.0,Masculino,3,6,1,8.9,1,0.9,1,2.95,67.3,2,18,0,Medio (3-4)
24.0,Masculino,3,1,1,0.7,0,11.2,1,2.59,65.1,0,18,1,Medio (3-4)
22.0,Masculino,4,5,0,15.9,0,5.0,1,3.38,82.8,1,16,0,Medio (3-4)
22.0,Femenino,4,5,0,19.7,1,14.6,0,3.73,91.6,0,14,0,Medio (3-4)
20.0,Femenino,3,3,0,15.4,1,1.7,0,3.29,79.0,0,20,1,Medio (3-4)
19.0,Femenino,3,4,0,10.7,0,2.8,0,3.05,97.1,2,20,1,Medio (3-4)
22.0,Femenino,2,5,0,13.1,1,12.9,1,2.53,80.4,2,14,0,Bajo (1-2)
21.0,Masculino,3,4,0,14.0,0,0.8,0,4.24,78.3,0,20,0,Medio (3-4)
17.0,Masculino,1,10,1,10.4,1,3.6,0,3.34,65.1,0,18,1,Bajo (1-2)
20.0,Masculino,4,6,0,20.7,0,6.6,0,3.63,74.5,0,15,0,Medio (3-4)
20.0,Femenino,3,6,1,11.6,0,4.0,1,2.81,67.1,2,14,0,Medio (3-4)
19.0,Masculino,3,3,1,0.0,1,10.5,0,2.1,59.5,1,17,0,Medio (3-4)
24.0,Femenino,2,10,0,10.6,0,4.6,0,3.51,66.3,1,12,0,Bajo (1-2)
22.0,Femenino,2,1,1,8.7,1,4.9,1,2.91,79.9,3,15,1,Bajo (1-2)
24.0,Masculino,3,6,0,20.7,0,13.4,0,3.84,70.6,2,18,1,Medio (3-4)
21.0,Masculino,2,2,0,21.8,0,27.7,1,2.9,77.0,3,16,1,Bajo (1-2)
21.0,Masculino,1,8,0,24.6,1,0.3,0,4.48,82.1,0,13,0,Bajo (1-2)
18.0,Femenino,4,4,0,14.8,0,15.5,1,3.72,66.5,2,13,1,Medio (3-4)
21.0,Masculino,3,3,0,18.6,1,11.5,1,3.4,82.8,1,18,0,Medio (3-4)
21.0,Femenino,3,1,0,5.3,1,19.9,0,3.07,86.5,2,20,1,Medio (3-4)
17.0,Masculino,3,8,0,16.6,0,1.8,1,3.72,91.3,1,18,0,Medio (3-4)
19.0,Masculino,4,4,0,7.5,0,11.8,0,2.27,83.2,2,13,0,Medio (3-4)
20.0,Femenino,2,3,0,13.6,0,4.6,0,4.05,77.5,0,18,1,Bajo (1-2)
21.0,Femenino,4,9,0,32.2,0,7.3,0,4.29,71.8,1,14,1,Medio (3-4)
22.0,Femenino,5,1,0,15.8,0,1.7,0,2.96,77.2,1,17,0,Alto (5-6)
19.0,Masculino,4,5,0,8.8,0,4.5,0,2.45,94.5,1,17,0,Medio (3-4)
22.0,Femenino,3,2,0,16.4,1,17.2,0,3.83,80.7,1,20,0,Medio (3-4)
20.0,Masculino,4,2,1,8.1,0,15.7,1,3.07,77.9,4,20,1,Medio (3-4)
17.0,Masculino,3,1,1,4.0,1,4.8,1,3.02,84.6,1,12,0,Medio (3-4)
19.0,Masculino,3,2,0,26.6,0,16.0,0,3.81,78.5,5,12,0,Medio (3-4)
23.0,Femenino,3,10,1,19.3,0,13.2,0,2.97,77.3,1,21,1,Medio (3-4)
17.0,Masculino,2,5,0,16.1,0,7.1,0,3.58,75.5,3,15,1,Bajo (1-2)
21.0,Femenino,1,10,1,8.5,0,13.8,0,2.89,70.9,2,12,1,Bajo (1-2)
24.0,Masculino,3,3,0,12.1,1,17.4,1,3.14,92.0,1,13,0,Medio (3-4)
19.0,Masculino,2,8,0,23.3,0,0.4,1,4.83,62.5,2,16,1,Bajo (1-2)
21.0,Masculino,3,1,1,9.3,1,5.5,0,3.45,79.8,0,20,0,Medio (3-4)
18.0,Masculino,3,2,1,0.0,1,2.2,0,3.06,70.2,2,21,0,Medio (3-4)
24.0,Femenino,5,1,0,28.5,0,4.9,0,5.0,58.9,0,18,1,Alto (5-6)
20.0,Femenino,1,9,1,12.6,1,6.8,0,3.36,65.3,1,14,1,Bajo (1-2)
21.0,Femenino,3,7,1,13.7,1,3.5,0,3.28,74.6,2,19,1,Medio (3-4)
23.0,Femenino,3,8,0,20.5,0,15.0,0,3.18,79.0,1,20,0,Medio (3-4)
22.0,Femenino,1,10,1,13.2,1,0.2,0,2.97,82.4,1,16,1,Bajo (1-2)
19.0,Femenino,2,4,1,13.3,0,15.6,0,2.18,83.1,0,17,1,Bajo (1-2)
19.0,Femenino,1,8,0,11.5,1,15.3,1,3.51,66.5,2,16,1,Bajo (1-2)
22.0,Femenino,2,6,1,4.7,0,5.2,1,2.18,82.8,2,20,1,Bajo (1-2)
19.0,Femenino,2,6,0,15.7,1,3.2,0,3.76,85.3,2,18,0,Bajo (1-2)
17.0,Masculino,3,7,0,22.6,1,31.3,0,3.6,80.2,2,12,1,Medio (3-4)
20.0,Masculino,3,5,0,10.1,1,1.8,1,3.12,87.0,1,20,0,Medio (3-4)
17.0,Femenino,1,1,0,9.6,1,0.7,0,3.01,58.7,4,17,1,Bajo (1-2)
24.0,Femenino,2,1,0,21.3,0,4.0,1,4.25,72.1,0,16,0,Bajo (1-2)
21.0,Femenino,1,6,1,7.6,1,4.6,0,3.55,88.7,0,13,0,Bajo (1-2)
19.0,Masculino,3,6,0,11.5,0,13.6,1,3.1,79.2,1,18,1,Medio (3-4)
19.0,Femenino,2,8,1,7.8,0,3.2,0,2.5,97.2,0,12,0,Bajo (1-2)
17.0,Femenino,3,6,1,8.5,0,12.2,1,3.45,66.2,0,13,1,Medio (3-4)
18.0,Femenino,2,2,1,0.2,1,1.7,0,2.12,90.6,2,18,0,Bajo (1-2)
23.0,Femenino,1,4,1,7.4,1,2.4,1,2.16,72.9,4,14,1,Bajo (1-2)
25.0,Femenino,5,5,1,15.4,0,3.8,0,3.54,83.6,1,19,0,Alto (5-6)
22.0,Masculino,1,10,1,10.3,1,8.4,0,3.67,72.0,2,14,0,Bajo (1-2)
20.0,Masculino,2,6,0,20.9,1,8.7,1,3.34,83.2,1,19,1,Bajo (1-2)
20.0,Masculino,2,7,0,25.0,0,7.6,0,3.93,84.0,2,18,0,Bajo (1-2)
18.0,Masculino,6,8,0,23.1,0,5.9,0,3.43,71.9,0,19,0,Alto (5-6)
25.0,Masculino,3,4,0,19.5,1,24.4,0,3.84,86.0,1,19,0,Medio (3-4)
20.0,Femenino,3,10,1,7.1,1,4.9,1,3.47,76.3,2,19,0,Medio (3-4)
25.0,Masculino,6,7,0,10.3,0,0.3,1,2.93,83.8,3,15,1,Alto (5-6)
24.0,Masculino,1,9,1,9.8,0,2.8,0,2.53,48.5,0,16,0,Bajo (1-2)
17.0,Femenino,6,8,0,17.5,0,3.9,1,2.66,78.6,0,12,0,Alto (5-6)
19.0,Masculino,2,7,1,11.6,0,0.6,1,3.58,91.6,1,15,0,Bajo (1-2)
19.0,Femenino,3,1,0,17.7,0,8.6,0,2.83,84.9,0,16,0,Medio (3-4)
20.0,Femenino,3,6,1,9.9,0,9.5,0,3.23,83.9,2,19,1,Medio (3-4)
20.0,Masculino,3,2,0,18.7,0,8.7,0,3.83,78.5,1,21,0,Medio (3-4)
27.0,Masculino,5,7,0,21.6,0,7.0,0,3.32,94.8,3,18,0,Alto (5-6)
18.0,Masculino,2,8,1,16.4,0,1.3,0,3.26,77.9,0,13,1,Bajo (1-2)
21.0,Femenino,6,6,0,13.8,0,7.8,0,3.72,71.4,1,14,1,Alto (5-6)
22.0,Masculino,3,4,0,9.0,0,2.3,1,2.6,90.6,2,17,0,Medio (3-4)
20.0,Masculino,3,1,0,8.9,1,24.7,0,2.54,87.2,1,16,0,Medio (3-4)
21.0,Femenino,6,7,0,9.9,0,2.6,0,2.93,84.3,3,21,0,Alto (5-6)
18.0,Masculino,1,7,1,16.0,0,0.8,0,3.96,71.0,2,13,0,Bajo (1-2)
21.0,Femenino,5,5,1,12.2,0,5.3,0,3.95,77.8,2,17,1,Alto (5-6)
22.0,Femenino,3,8,0,5.5,1,1.7,1,2.8,95.9,1,19,0,Medio (3-4)
21.0,Femenino,4,8,1,5.3,0,26.7,0,2.48,79.8,3,16,1,Medio (3-4)
22.0,Masculino,2,6,0,15.5,0,12.9,1,3.83,67.2,1,14,0,Bajo (1-2)
24.0,Femenino,3,1,1,4.9,1,20.8,0,1.99,68.7,3,13,1,Medio (3-4)
23.0,Femenino,4,9,0,16.6,1,16.7,0,3.47,71.2,2,18,1,Medio (3-4)
21.0,Femenino,3,5,0,12.2,0,1.1,0,3.13,70.5,3,18,0,Medio (3-4)
18.0,Femenino,2,7,0,9.7,0,5.4,1,3.68,60.9,0,19,0,Bajo (1-2)
19.0,Femenino,2,10,0,14.3,1,0.4,0,3.94,96.9,2,20,0,Bajo (1-2)
20.0,Masculino,5,4,1,17.1,1,5.7,0,2.9,66.2,0,21,0,Alto (5-6)
21.0,Femenino,1,7,0,8.9,1,14.4,0,3.08,70.0,1,13,1,Bajo (1-2)
19.0,Masculino,4,1,0,12.5,1,17.2,0,2.88,58.6,2,16,0,Medio (3-4)
18.0,Masculino,6,9,0,16.8,1,2.1,0,3.21,86.7,1,15,0,Alto (5-6)
18.0,Femenino,1,1,0,9.4,1,8.1,0,3.33,77.1,1,20,0,Bajo (1-2)
17.0,Femenino,2,6,1,0.0,0,0.0,1,2.43,75.5,5,13,1,Bajo (1-2)
20.0,Masculino,4,4,1,0.0,1,3.8,0,2.7,72.0,1,18,1,Medio (3-4)
17.0,Femenino,1,1,0,11.5,1,5.6,1,3.6,87.9,0,15,0,Bajo (1-2)
18.0,Femenino,3,5,1,0.0,0,12.8,1,3.36,74.2,0,12,0,Medio (3-4)
20.0,Masculino,4,10,0,11.9,0,1.1,0,3.28,58.1,4,17,0,Medio (3-4)
18.0,Masculino,3,2,1,18.0,0,6.7,0,3.47,62.1,1,15,0,Medio (3-4)
21.0,Masculino,3,3,0,5.7,1,0.0,0,2.3,64.6,2,18,0,Medio (3-4)
22.0,Femenino,4,2,0,12.3,1,12.8,0,3.95,80.8,2,15,0,Medio (3-4)
19.0,Masculino,3,2,1,23.6,0,12.2,1,3.91,88.3,0,13,1,Medio (3-4)
20.0,Masculino,2,3,0,16.4,1,2.6,1,3.41,96.7,1,13,0,Bajo (1-2)
22.0,Femenino,3,6,0,11.8,0,7.2,0,3.17,61.7,2,13,0,Medio (3-4)
19.0,Masculino,5,8,0,13.1,0,15.2,0,3.37,84.2,1,16,1,Alto (5-6)
19.0,Femenino,4,7,0,16.6,0,3.6,0,3.73,71.8,0,14,1,Medio (3-4)
23.0,Femenino,3,8,1,18.9,1,2.4,0,3.9,100.0,1,13,1,Medio (3-4)
22.0,Masculino,2,8,1,6.2,0,4.6,0,3.69,88.8,0,15,0,Bajo (1-2)
22.0,Femenino,1,4,1,5.6,0,15.7,0,2.97,92.0,4,20,0,Bajo (1-2)
23.0,Femenino,2,10,1,1.0,0,24.3,0,3.52,83.0,1,20,1,Bajo (1-2)
17.0,Masculino,1,2,0,14.6,1,39.2,0,3.79,81.8,3,15,0,Bajo (1-2)
23.0,Masculino,6,7,1,2.7,1,0.2,0,2.69,71.0,2,17,0,Alto (5-6)
21.0,Masculino,2,2,0,11.2,1,1.4,0,2.27,72.0,3,13,1,Bajo (1-2)
23.0,Masculino,4,8,0,8.5,1,4.8,0,3.03,70.0,0,16,1,Medio (3-4)
21.0,Masculino,2,1,0,20.4,0,7.6,0,4.3,84.2,1,18,1,Bajo (1-2)
21.0,Femenino,2,3,0,10.9,0,2.6,0,2.71,93.6,1,12,1,Bajo (1-2)
20.0,Femenino,3,4,1,14.3,1,9.8,0,3.29,71.4,2,20,0,Medio (3-4)
21.0,Femenino,2,7,0,4.4,0,3.2,1,2.88,74.8,2,21,0,Bajo (1-2)
20.0,Femenino,4,1,0,14.8,0,7.0,0,3.74,63.2,1,21,0,Medio (3-4)
22.0,Masculino,6,3,0,6.8,0,0.4,0,2.71,80.4,3,14,0,Alto (5-6)
17.0,Femenino,5,4,0,11.4,1,9.1,0,2.68,90.3,2,20,1,Alto (5-6)
